JP Title,Eng Title,★,FT Prelude,FT FS,FT CT,FT DLC1,FT DLC2,FT DLC3,FT DX,FT MM,FT MM2,MegaMix,MM Theme,MM DLC1,MM DLC2,MM DLC3,MM DLC4,MM DLC5,MM DLC6,MM Sega,MM DLC7,MM DLC8,MM DLC9,MM DLC10,MM DLC11
孤独の果て -extend edition-,Solitude's End -extend edition-,9,×,✓,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×
壊セ壊セ,"Break It, Break It!",8.5,×,✓,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×
さあ、どっち？,Now Choose,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
サイハテ,Saihate,9.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
サウンド,Sound,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×
soundless voice,Soundless Voice,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
桜ノ雨,Sakura no Ame,7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Sadistic.Music∞Factory,Sadistic.Music∞Factory,10,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
サマーアイドル,Summer Idol,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×
サヨナラ・グッバイ,"Sayonara, Goodbye",7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
39,39,7,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
サンドリヨン,Cendrillion,8.5,×,×,×,✓,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
The secret garden,The secret garden,6,×,✓,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×
shake it!,shake it!,8,×,×,×,✓,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
